Year,Paper Count
2000,644412
2001,673475
2002,722534
2003,752304
2004,1055814
2005,1091969
2006,1110337
2007,1135936
2008,1165906
2009,1202057
2010,1211850
2011,1288086
2012,1108077
2013,1036746
2014,1091615
2015,1136679
2016,1162461
2017,1190259
2018,1253381
2019,1334516
2020,1592306
2021,1782768
2022,1792532
2023,1724784
2024,1860592
