Year,Paper Count
2000,197
2001,272
2002,283
2003,342
2004,480
2005,641
2006,826
2007,1088
2008,1539
2009,2032
2010,2284
2011,2905
2012,3488
2013,4405
2014,5614
2015,6845
2016,8394
2017,11278
2018,16401
2019,23372
2020,38319
2021,54946
2022,69787
2023,73689
2024,83318
